game_id,date,away_name,away_id,away_score,home_name,home_id,home_score
718769,2023/03/30,Angels,108,1,Athletics,133,2
718757,2023/04/01,Angels,108,13,Athletics,133,1
718734,2023/04/02,Angels,108,6,Athletics,133,0
718720,2023/04/03,Angels,108,7,Mariners,136,3
718706,2023/04/04,Angels,108,2,Mariners,136,11
718691,2023/04/05,Angels,108,4,Mariners,136,3
718670,2023/04/07,Blue Jays,141,4,Angels,108,3
718657,2023/04/08,Blue Jays,141,5,Angels,108,9
718644,2023/04/09,Blue Jays,141,12,Angels,108,11
718631,2023/04/10,Nationals,120,6,Angels,108,4
718614,2023/04/11,Nationals,120,0,Angels,108,2
718602,2023/04/12,Nationals,120,2,Angels,108,3
718580,2023/04/14,Angels,108,3,Red Sox,111,5
718576,2023/04/15,Angels,108,7,Red Sox,111,9
718559,2023/04/16,Angels,108,1,Red Sox,111,2
718540,2023/04/17,Angels,108,5,Red Sox,111,4
718529,2023/04/18,Angels,108,5,Yankees,147,2
718504,2023/04/19,Angels,108,2,Yankees,147,3
718496,2023/04/20,Angels,108,3,Yankees,147,9
718485,2023/04/21,Royals,118,0,Angels,108,2
718466,2023/04/22,Royals,118,11,Angels,108,8
718452,2023/04/23,Royals,118,3,Angels,108,4
718437,2023/04/24,Athletics,133,11,Angels,108,10
718425,2023/04/25,Athletics,133,3,Angels,108,5
718408,2023/04/26,Athletics,133,3,Angels,108,11
718402,2023/04/27,Athletics,133,7,Angels,108,8
718386,2023/04/28,Angels,108,1,Brewers,158,2
718376,2023/04/29,Angels,108,5,Brewers,158,7
718365,2023/04/30,Angels,108,3,Brewers,158,0
718338,2023/05/02,Angels,108,5,Cardinals,138,1
718320,2023/05/03,Angels,108,6,Cardinals,138,4
718311,2023/05/04,Angels,108,11,Cardinals,138,7
718294,2023/05/05,Rangers,140,4,Angels,108,5
718275,2023/05/06,Rangers,140,10,Angels,108,1
718264,2023/05/07,Rangers,140,16,Angels,108,8
718254,2023/05/08,Astros,117,4,Angels,108,6
718237,2023/05/09,Astros,117,3,Angels,108,1
718235,2023/05/10,Astros,117,5,Angels,108,4
718205,2023/05/12,Angels,108,5,Guardians,114,4
718191,2023/05/13,Angels,108,6,Guardians,114,8
718182,2023/05/14,Angels,108,3,Guardians,114,4
718171,2023/05/15,Angels,108,9,Orioles,110,5
