"player_key","player_id","url","editorial_team_full_name","editorial_team_abbr","editorial_team_url","is_keeper","uniform_number","display_position","image_url","is_undroppable","position_type","primary_position","eligible_positions","eligible_positions_to_add","has_player_notes","has_recent_player_notes","player_notes_last_timestamp","selected_position","is_editable","owner_email","owner_guid","team_code","date_captured","season","full_name","first_name","last_name","status","starting_status","on_disabled_list"
"431.p.11732","11732","https://sports.yahoo.com/mlb/players/11732","Baltimore Orioles","BAL","https://sports.yahoo.com/mlb/teams/baltimore/","{'status': '1', 'cost': None, 'kept': '1'}","35","C","https://s.yimg.com/iu/api/res/1.2/KtyoFN528Ggak97gO3RlIw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/mlb_cutout/players_l/03232023/11732.png","0","B","C","['C', 'Util']","","1","1","1711313907","C","1","","YKO6LWLDLSJG7ICBYUZIVU3YNQ","431.l.34188.t.1","2024-09-23 00:00:00","2024","Adley Rutschman","Adley","Rutschman","","",""
"431.p.8658","8658","https://sports.yahoo.com/mlb/players/8658","Los Angeles Dodgers","LAD","https://sports.yahoo.com/mlb/teams/la-dodgers/","{'status': '1', 'cost': None, 'kept': '1'}","5","1B","https://s.yimg.com/iu/api/res/1.2/9ekVvmuxq6xffK0wmjzyog--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/mlb_cutout/players_l/03082024/8658.png","1","B","1B","['1B', 'Util']","","1","","1710670715","1B","1","","YKO6LWLDLSJG7ICBYUZIVU3YNQ","431.l.34188.t.1","2024-09-23 00:00:00","2024","Freddie Freeman","Freddie","Freeman","","",""
"431.p.11284","11284","https://sports.yahoo.com/mlb/players/11284","Chicago Cubs","CHC","https://sports.yahoo.com/mlb/teams/chi-cubs/","{'status': None, 'cost': None, 'kept': None}","2","2B,SS","https://s.yimg.com/iu/api/res/1.2/w0Hw9fn.rwFeQVp8kGNW1A--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/mlb_cutout/players_l/04262022/11284.png","0","B","2B","['2B', 'SS', 'Util']","","1","","1711235027","2B","1","","YKO6LWLDLSJG7ICBYUZIVU3YNQ","431.l.34188.t.1","2024-09-23 00:00:00","2024","Nico Hoerner","Nico","Hoerner","","",""
"431.p.11731","11731","https://sports.yahoo.com/mlb/players/11731","Baltimore Orioles","BAL","https://sports.yahoo.com/mlb/teams/baltimore/","{'status': '1', 'cost': None, 'kept': '1'}","2","3B,SS","https://s.yimg.com/iu/api/res/1.2/IK1EPt1amCuBAfUA2a2mLw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/mlb_cutout/players_l/03072023/11731.png","0","B","3B","['3B', 'SS', 'Util']","","1","","1711058415","3B","1","","YKO6LWLDLSJG7ICBYUZIVU3YNQ","431.l.34188.t.1","2024-09-23 00:00:00","2024","Gunnar Henderson","Gunnar","Henderson","","",""
"431.p.10056","10056","https://sports.yahoo.com/mlb/players/10056","Philadelphia Phillies","PHI","https://sports.yahoo.com/mlb/teams/philadelphia/","{'status': '1', 'cost': None, 'kept': '1'}","7","SS","https://s.yimg.com/iu/api/res/1.2/hvkba8ke06fOJpe4xktpVw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/mlb_cutout/players_l/03282023/10056.png","1","B","SS","['SS', 'Util']","","","","","SS","1","","YKO6LWLDLSJG7ICBYUZIVU3YNQ","431.l.34188.t.1","2024-09-23 00:00:00","2024","Trea Turner","Trea","Turner","","",""
"431.p.8861","8861","https://sports.yahoo.com/mlb/players/8861","Los Angeles Angels","LAA","https://sports.yahoo.com/mlb/teams/la-angels/","{'status': None, 'cost': None, 'kept': None}","27","OF","https://s.yimg.com/iu/api/res/1.2/GlyOYwFRQ.QFVRiKykVe9w--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/mlb_cutout/players_l/04172023/8861.png","0","B","OF","['OF', 'Util']","","1","","1710634239","OF","1","","YKO6LWLDLSJG7ICBYUZIVU3YNQ","431.l.34188.t.1","2024-09-23 00:00:00","2024","Mike Trout","Mike","Trout","","",""
"431.p.12480","12480","https://sports.yahoo.com/mlb/players/12480","Milwaukee Brewers","MIL","https://sports.yahoo.com/mlb/teams/milwaukee/","{'status': None, 'cost': None, 'kept': None}","11","OF","https://s.yimg.com/iu/api/res/1.2/hHuciQDhqYaIBwY.KgSImQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/mlb_cutout/players_l/01222024/12480.png","0","B","OF","['OF', 'Util']","","1","","1711133075","OF","1","","YKO6LWLDLSJG7ICBYUZIVU3YNQ","431.l.34188.t.1","2024-09-23 00:00:00","2024","Jackson Chourio","Jackson","Chourio","","",""
"431.p.10639","10639","https://sports.yahoo.com/mlb/players/10639","San Diego Padres","SD","https://sports.yahoo.com/mlb/teams/san-diego/","{'status': '1', 'cost': None, 'kept': '1'}","23","OF","https://s.yimg.com/iu/api/res/1.2/9coJVPPOHbs3_mJ82rmlDg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/mlb_cutout/players_l/03242023/10639.1.png","1","B","OF","['OF', 'Util']","","","","","OF","1","","YKO6LWLDLSJG7ICBYUZIVU3YNQ","431.l.34188.t.1","2024-09-23 00:00:00","2024","Fernando Tatis","Fernando","Tatis Jr.","","",""
"431.p.10215","10215","https://sports.yahoo.com/mlb/players/10215","Boston Red Sox","BOS","https://sports.yahoo.com/mlb/teams/boston/","{'status': None, 'cost': None, 'kept': None}","17","OF","https://s.yimg.com/iu/api/res/1.2/01AvhNpTQuKDdSPahWY87Q--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/mlb_cutout/players_l/01112024/10215.png","0","B","OF","['OF', 'Util']","","1","1","1711290984","Util","1","","YKO6LWLDLSJG7ICBYUZIVU3YNQ","431.l.34188.t.1","2024-09-23 00:00:00","2024","Tyler O'Neill","Tyler","O'Neill","","",""
"431.p.9590","9590","https://sports.yahoo.com/mlb/players/9590","Minnesota Twins","MIN","https://sports.yahoo.com/mlb/teams/minnesota/","{'status': None, 'cost': None, 'kept': None}","25","Util","https://s.yimg.com/iu/api/res/1.2/6fjWSOAJ7Tyxp5qvQwhprw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/mlb_cutout/players_l/04112023/9590.png","0","B","Util","Util","","1","","1710964756","Util","1","","YKO6LWLDLSJG7ICBYUZIVU3YNQ","431.l.34188.t.1","2024-09-23 00:00:00","2024","Byron Buxton","Byron","Buxton","","",""
